gagarin;Юрий Гагарин!,Юрий Никулин,Георгий Вицин,Евгений Моргунов
arny;Джейсон Стетхем,Шварцнеггер!,Жан-Клод Ван Дамм,Сильвестр Сталлоне
jim2;Леонардо Ди Каприо,Киану Ривз,Джим Керри!,Уилл Смит
jim;Джим Керри!,Лесли Нильсен,Дензел Вашингтон,Адам Сэндлер
morgunov;Евгений Леонов, Булат Окуджава,Евгений Моргунов!,Павел Лускепаев
nikulin;Савелий Краморов,Юрий Никулин!,Анатолий Папанов,Александр Демьяненко
demyanenko;Александр Демьяненко!,Юрий Яковлев,Леонид Гайдай,Алексей Смирнов
garin;Раднер Муратов,Михаил Пуговкин,Эраст Гарин!,Владимир Басов
freeman;Сэмюэль Джексон,Джейми Фокс,Морган Фримен!,50 cent
robbins;Майкл Джей Фокс,Джаред Лето,Бред Питт,Тим Роббинс!
bale;Бред Питт, Кристиан Бейл!,Хью Джекман,Ник Стал
norton;Мартин Фримен,Роберт Патиссон,Эдвард Нортон!,Киану Ривз
jackson;Уилл Сми,Мартин Лоуренс,Джейми Фокс,Сэмюэль Джексон!